OBJECTID,A_NUMBER,A_TYPE,A_DATE,A_STATUS,A_STATUS_DATE,A_PROJECT_NAME,A_DESCRIPTION,A_USER_ID,A_CASE_PLANNER,CODE,DESCR,CODE_1,DESCR_1,USER_NAME,EMAIL,ORIG_FID,CreationDate,Creator,EditDate,Editor,x,y
6095,D1400006,PL_SSP_SM,1/14/2014 2:03:00 PM,APP,4/22/2014 10:56:17 AM,Durham Academy Lacrosse Field,"Regrade and improve existing athletic field to educational facility on 2.5 acres zoned RS-8, and located 3116 Academy Street",KEAGANSA,ALYSIAB,APP,Approved,PL_SSP_SM,Level 3 - Administrative Site Plan,,,6095,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2016135.93757136,807621.099218726
6102,D1600204,PL_MINSP,7/26/2016 9:37:48 AM,APP,6/22/2017 12:10:56 PM,North Durham Reclamation Facility Process Improvements Phase 1,"Addition of several buildings and treatment processes. Associated demolition, paving and stormwater improvements.",KIMRO,DCULTRA,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Danny Cultra,Danny.Cultra@durhamnc.gov,6102,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2041081.20514949,828137.108203113
6103,Z2200032,D_REZ,6/22/2022 12:00:00 AM,APP,5/16/2023 12:29:50 PM,Harlowe Point,Rezone parcels from RS-20 and PDR 4.001 to PDR 3.949. Associated with BDG2200019,GSMITH,ALEXCA,APP,Approved,D_REZ,Zoning Map Change,Alex Cahill,Alex.Cahill@durhamnc.gov,6103,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2050230.50007136,807103.985546857
6106,COA1800045,PL_MJ_COA,6/5/2018 12:00:00 AM,APP,4/16/2019 5:47:09 PM,115-123 Market Street - Modifications,"The connected structure at 115 Market Street (at the corner with Chapel Hill Street) is a series of buildings bound by Market Street, Chapel Hill Street, and Main Street and identified as the former Herald-Sun complex. Visually appearing to be separate buildings of various construction types and styles, several portions of the original construction have additionally been altered over time and do not retain their apparent original architectural style. Although this series of buildings is connected and contained within one parcel, the Downtown Durham Historic District appears to identify separate portions of the property as a local Landmark (117 Market Street), Contributing (133 Chapel Hill Street) and Non-Contributing structures (115 and 123 Market Street). The owner, Self Help (via an LLC), identifies the building as the “Bull City Business Center”.

This project seeks to alter the street level of 123 Market Street (identified on the adjacent diagram as non-contributing) to create additional street level, sidewalk addressing interior space by converting an existing office suite into separate tenants with new entrances with associated canopies and signage.
As part of this work, a single existing entrance within the portion of the building at 117 Market Street will also be minimally altered. A portion of 136 Chapel Hill Street, which appears incorrectly identified as “contributing” within Appendix A of the preservation plan (it appears to be identified by the map on page 41 as “non-contributing” and stylistically appears to be part of the building at 123 Market Street) will receive similar treatment at one existing entrance and one additional proposed entrance.
",KROSENBERG,KROSENBERG,APP,Approved,PL_MJ_COA,Major COA,Karla Rosenberg,Karla.Rosenberg@durhamnc.gov,6106,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2028766.20827448,817691.559765607
6108,M0900005,PL_MAJSUP,11/30/2009 12:34:26 PM,AP_CON,3/15/2010 3:12:10 PM,New Middle School B- Treyburn,"New 158,038 s.f. public middle school (grade 6-8) with access to Snow Hill Road",MSTOCK,MSTOCK,AP_CON,Approved With Conditions,PL_MAJSUP,Major Special Use Permit,Michael Stock,Michael.Stock@durhamnc.gov,6108,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2033540.47507136,858617.24804686
6117,D2000017,PL_MINSP,1/21/2020 10:13:52 AM,APP,3/24/2020 8:59:56 AM,Project Bluejay,Grading Only,AMANDAHO,COLERE,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Cole Renigar,Cole.Renigar@durhamnc.gov,6117,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2038560.44108698,796567.806249976
6118,COA1500023,PL_MJ_COA,3/4/2015 3:56:22 PM,APP,4/7/2015 5:09:41 PM,709 Arnette Ave - Modifications,Modificattions to house,KROSENBERG,KROSENBERG,APP,Approved,PL_MJ_COA,Major COA,Karla Rosenberg,Karla.Rosenberg@durhamnc.gov,6118,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2025448.11100885,817088.605468735
6137,Z2400019,D_REZ,4/5/2024 9:26:02 AM,APP,3/28/2025 10:33:47 AM,Chin Page Road Apartments,Proposed apartment development on a portion of the site. The IP lot will remain but the property line between that lot and the rest of the development will be adjusted to give more room to the apartment portion,GSMITH,ACAIN,APP,Approved,D_REZ,Zoning Map Change,Aaron Cain,Aaron.Cain@durhamnc.gov,6137,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2046893.66569635,781196.234374985
6139,COA1700014,PL_MJ_COA,2/6/2017 3:31:31 PM,APP,4/7/2017 2:33:37 PM,"806 Lancaster St - Modifications, Addition and New Construction ","Removal of existing rear porch and new screen porch replacement; New accessory structure at rear of property, with siding, windows, roof shingles and painted to match existing house; modifications to existing roof dormer on main house to allow for egress as windows do not meet NC Building code",JAMIESUN,KROSENBERG,APP,Approved,PL_MJ_COA,Major COA,Karla Rosenberg,Karla.Rosenberg@durhamnc.gov,6139,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2025687.9899151,822662.392187476
6141,D0900234,PL_SSP_SM,10/12/2009 11:10:10 AM,APP,1/12/2010 3:01:33 PM,Shepard Middle School site plan amendment #1,"Site plan amendment to D0800212 Shepard Middle School Expansion.  For storm drainage line upsizing within the floodplain, floodway, and stream buffer, including outfall inprovements within Third Fork Creek stream channel.",JEANETTEBR,JMORRIS,APP,Approved,PL_SSP_SM,Level 3 - Administrative Site Plan,,,6141,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2029638.91335261,806117.456640601
6142,Z1300020,D_REZ,7/8/2013 12:29:29 PM,APP,2/10/2014 9:28:43 AM,Meadows at Southpoint II,185 townhouses,JOANNEG,AWOLFF,APP,Approved,D_REZ,Zoning Map Change,Amy Wolff,Amy.Wolff@durhamnc.gov,6142,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2023982.28093073,783947.397656232
6149,D1600281,PL_SSP_SM,9/27/2016 3:03:08 PM,APP,12/15/2016 4:26:30 PM,Triangle Business Center Lot 3 Amendment,Add 564 sq. ft. floor area and parking to building 3A,LEEDA,EMILYST,APP,Approved,PL_SSP_SM,Level 3 - Administrative Site Plan,Emily Struthers,Emily.Struthers@durhamnc.gov,6149,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2045746.01257135,790798.50976561
6169,D2100415,PL_SSP_SM,11/22/2021 11:21:37 AM,APP,4/13/2022 12:42:49 PM,Building B300 - Firehouse,Fire house building with driveway,ROBINSH,COLERE,APP,Approved,PL_SSP_SM,Level 3 - Administrative Site Plan,Cole Renigar,Cole.Renigar@durhamnc.gov,6169,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2045935.84733698,858353.54101561
6170,D0900184,PL_MINSP,8/3/2009 1:23:32 PM,APP,4/8/2010 5:28:16 PM,True Way Holiness Church,"11,000 square foot place of worship on 12.89 acres",JEANETTEBR,DCULTRA,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Danny Cultra,Danny.Cultra@durhamnc.gov,6170,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2045903.71218073,819649.114843726
6171,COA1400028,PL_MJ_COA,2/26/2014 12:00:00 AM,AP_CON,4/16/2014 3:13:12 PM,309 E Chapel Hill St - Exterior Modifications ,"Modifications to exterior including new storefront, windows, roofing, paint, stairs and mechanical equipment.",KROSENBERG,KROSENBERG,AP_CON,Approved With Conditions,PL_MJ_COA,Major COA,Karla Rosenberg,Karla.Rosenberg@durhamnc.gov,6171,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2029200.45905574,817879.526562482
6174,Z0800005,D_REZ,1/14/2008 11:27:58 AM,APP,7/10/2008 11:22:16 AM,Exeter Apartments,20 Multi-family units,JOANNEG,,APP,Approved,D_REZ,Zoning Map Change,,,6174,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2034067.93014948,814271.790234357
6177,D1900154,PL_MINSP,5/21/2019 2:00:37 PM,APP,12/19/2019 11:33:43 AM,FKC Eno River,"Medical Center development with associated parking, utility, and landscaping. Public Water Line extension to serve the site",MICHAELKL,TREYFI,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Trey Figueroa,Trey.Figueroa@durhamnc.gov,6177,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2028387.69811822,842943.957421854
6179,D0900110,PL_MINSP,5/7/2009 3:01:42 PM,APP,7/2/2009 10:00:19 AM,Smith Warehouse Parking Lot Alterations Phase 3,Parking lot alterations on the south side of the building; site totaling 9.295 acres,JEANETTEBR,AKRAMER,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,,,6179,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2024990.26413386,819695.80273436
6184,D1000022,PL_MINSP,1/29/2010 9:55:30 AM,APP,9/24/2010 9:51:45 AM,Christ The King Moravian Chuch,"6,382 square foot expansion for existing 8,330 square foot place of worship on 4.678 acred zoned RS-10, RS-20 and F/J-B",JEANETTEBR,DCULTRA,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Danny Cultra,Danny.Cultra@durhamnc.gov,6184,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2014123.74850886,792962.855468735
6203,D1700253,PL_MINSP,8/8/2017 9:08:37 AM,APP,12/22/2017 2:14:01 PM,North Roxboro Street Vehicle Sales,Demo of existing impervious to construct 750 SF building with associated parking.,DOUGWE,AWOLFF,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Amy Wolff,Amy.Wolff@durhamnc.gov,6203,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2032482.54968072,829986.391796857
6209,D2300230,PL_MINSP,10/6/2023 9:58:42 AM,APP,2/14/2025 3:06:58 PM,Lumley Multifamily,400 multifamily units comprised of 74 townhouse and 326 apartment units and associated amenity space.,JALISAHA,JALISAHA,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,JALISA HARRIS,Jalisa.Harris@durhamnc.gov,6209,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2057072.2321026,792293.424999982
6214,D0900051,PL_MAJSP,3/3/2009 12:50:05 PM,APP,2/5/2010 8:39:08 AM,NCCU Holy Cross Catholic Church Relocation,"Relocate a 1,600 sq ft former church building for campus meeting space onto 3 parcels totaling 0.519 acres of an existing university campus. Located on the northwest corner of Fayetteville Street and Formosa Avenue, in the Urban Tier.",JEANETTEBR,DCULTRA,APP,Approved,PL_MAJSP,Major Site Plan,Danny Cultra,Danny.Cultra@durhamnc.gov,6214,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2029122.59108698,809754.859374985
6229,D0800231,PL_MINSP,9/29/2008 10:31:25 AM,APP,6/23/2009 10:37:13 AM,ATC Glenn School Road,"Concealed cell tower on 13,000 square foot of a 5.429 acre tract ",AMANDAHO,DCULTRA,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Danny Cultra,Danny.Cultra@durhamnc.gov,6229,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2045659.5211651,827666.842187479
6239,D0800252,PL_MINSP,10/31/2008 9:35:03 AM,APP,5/26/2009 12:57:39 PM,Duke Center for Living Parking Expansion,Revision of parking scheme for Center for Living to include 105 parking spaces,LEEDA,AKRAMER,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,,,6239,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2015697.85632135,817927.700781226
6246,D2300278,PL_MINSP,12/14/2023 9:01:11 AM,APP,6/13/2024 11:54:09 AM,Eno Village,"Residential project consisting of a 142 townhomes and 240 multifamily units (297,000 SF) and the associated infrastructure. ",COLERE,COLERE,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Cole Renigar,Cole.Renigar@durhamnc.gov,6246,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2025495.6258526,842428.637499988
6251,D1300092,PL_SSP_SM,4/4/2013 10:39:57 AM,APP,5/30/2013 3:01:57 PM,Sierra Sewer Pump Station Relocation,Amendment to D06-283 to relocate the temporary pump station within the Sierra Development.,DACIARE,LHODGES,APP,Approved,PL_SSP_SM,Level 3 - Administrative Site Plan,,,6251,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2063571.60632135,801319.362109363
6255,D0700558,PL_MINSP,10/31/2007 3:28:08 PM,APP,2/13/2008 2:41:58 PM,"Townes of Hollymeade Lots15-21, 36-42","14 townhome units in 2 buildings, included in previous site plan, on 6.168 acres; related to D03-325",TDANNER,AKRAMER,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,,,6255,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2026587.12663385,838451.235156238
6261,D1500123,PL_MINSP,5/12/2015 2:22:37 PM,APP,9/9/2015 4:43:16 PM,Briar Green Apartments,"Development of 200 apartment units, including roadway, utility, & stormwater management infrastructure.",LEEDA,BDOBRZENSKI,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Bo Dobrzenski,Bo.Dobrzenski@durhamnc.gov,6261,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2033440.07311822,839982.623437479
6268,COA1700089,PL_MJ_COA,10/23/2017 12:00:00 AM,AP_CON,12/21/2017 4:48:30 PM,1008 Franklin Street - Modifications,"Replace siding with cementitious fiberboard siding on both gabled sides of the bungalow, including OSB and housewrap underneath.  Replace window sills and retrim the windows with in-kind (wood) materials. Special care will be given to match the existing historical paint scheme.",GSMITH,KROSENBERG,AP_CON,Approved With Conditions,PL_MJ_COA,Major COA,Karla Rosenberg,Karla.Rosenberg@durhamnc.gov,6268,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2032930.5367901,815252.289062485
6270,D2400059,PL_MINSP,3/12/2024 9:08:56 AM,UN_RE,3/12/2024 9:12:31 AM,5193 International Drive - WCF,Construction of a 180' WCF. ,TREYFI,TREYFI,UN_RE,Under Review,PL_MINSP,Level 4 - Administrative Site Plan,Trey Figueroa,Trey.Figueroa@durhamnc.gov,6270,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2044462.90554011,854537.136328101
6275,COA2300091,PL_MJ_COA,11/15/2023 9:01:46 AM,AP_CON,2/22/2024 11:48:44 AM,301 E. Chapel Hill St,The two entrances on Foster Street will be restored with new storefront entry systems. The entrance on Chapel Hill Street will be restored with a new storefront entry system to allow for two tenant entrances. Window openings will be repaired and restored to the original design.,KROSENBERG,KROSENBERG,AP_CON,Approved With Conditions,PL_MJ_COA,Major COA,Karla Rosenberg,Karla.Rosenberg@durhamnc.gov,6275,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2029114.99694635,817879.016406238
6278,D1300036,PL_MINSP,2/7/2013 9:34:57 AM,APP,10/11/2013 7:08:06 PM,Sport Durst Millenium Jeep,Service area expansion. Pave existing inventory area. ,TDANNER,LDARDEN,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,,,6278,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2007583.73444636,804767.24804686
6298,D1200085,PL_MINSP,5/8/2012 10:03:06 AM,APP,8/30/2012 10:06:37 AM,Durham Central Park Co-Housing Community,25 unit residential development with 25 parking spaces under building on 0.582 acres zoned DD-S1 and located at 128 & 132 Hunt Street.,COLERE,DCULTRA,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Danny Cultra,Danny.Cultra@durhamnc.gov,6298,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2029861.68288386,819011.709374979
6300,D1600208,PL_SSP_SM,7/26/2016 2:34:17 PM,APP,10/13/2016 11:10:38 AM,Davis Park Apartments Amendment 2 Approved Plan,"Phasing less 2 units, location of HC parking, location of club/leasing, final building footprints and elevations. Shift in bike racks and final retaining wall locations.",KIMRO,DCULTRA,APP,Approved,PL_SSP_SM,Level 3 - Administrative Site Plan,Danny Cultra,Danny.Cultra@durhamnc.gov,6300,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2041298.46296199,776049.870312482
6302,Z1100001,D_REZ,1/3/2011 1:15:21 PM,APP,8/9/2011 9:14:19 AM,Autozone - East Durham,"11,000 square feet of retail",JOANNEG,AWOLFF,APP,Approved,D_REZ,Zoning Map Change,Amy Wolff,Amy.Wolff@durhamnc.gov,6302,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2060848.50827448,810956.946093738
6304,D1100108,PL_SSP_SM,5/31/2011 7:16:30 AM,APP,9/27/2011 2:21:42 PM,Elementary School E-Amendment,"Sidewalk relocation at main entry, side of pond #2, south side of entry off Old Oxford Hwy, sun dial, between building wings, northwest corner of building, southwest corner of building.  Relocate fences on east side of building,  road widening on on Old Oxford Hwy, relocate sign at bus driveway, 6 classrooms eliminated, lighting layout revised by Duke Energy, playgrounds reconfigured, bike parking added.",DACIARE,DCULTRA,APP,Approved,PL_SSP_SM,Level 3 - Administrative Site Plan,Danny Cultra,Danny.Cultra@durhamnc.gov,6304,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2037973.51491511,839779.481249988
6307,D1200156,PL_MINSP,7/12/2012 3:14:58 PM,APP,4/9/2013 12:02:47 PM,Mitchell Day Care Expansion,"Increase enrollment of daycare to 40 children,slightly modify existing parking area and request parking reduction on .459 acres zoned RS-20 and F/J-B, and located at 2400 W NC54 Hwy. Requires mSUP.",JEANETTEBR,DCULTRA,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Danny Cultra,Danny.Cultra@durhamnc.gov,6307,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2002804.57546198,785973.26757811
6326,Z0800006,D_REZ,1/14/2008 1:07:34 PM,APP,5/8/2008 9:41:37 AM,McClain Houses,4 single family lots,JOANNEG,,APP,Approved,D_REZ,Zoning Map Change,,,6326,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2042396.40632136,820874.868749976
6348,COA2300063,PL_MJ_COA,8/10/2023 1:13:55 PM,APP,12/5/2023 4:17:43 PM,2101 W Club Blvd-Mod_Site,"New one-story wood-framed screened porch to the rear of the home. Replace sliding doors on the east and south walls with fixed glass windows of the same size. Remove one canopy tree at the rear of the house.
",KROSENBERG,,APP,Approved,PL_MJ_COA,Major COA,,,6348,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2021988.3258526,825079.202343732
6349,D2100091,PL_MINSP,3/22/2021 2:54:23 PM,APP,6/9/2021 11:59:35 AM,UNC Lineberger ACT GMP Expansion,Construction of an equipment yard adjacent to existing building.,AMANDAHO,ELIZAMO,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Eliza Monroe,Eliza.Monroe@durhamnc.gov,6349,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2006268.86764948,787440.788671851
6357,Z1200026,D_REZ,12/7/2012 10:56:33 AM,APP,12/18/2013 8:35:50 AM,Muirfield Commercial,8000 SF nonresidential (see commitments for restrictions),JOANNEG,AWOLFF,APP,Approved,D_REZ,Zoning Map Change,Amy Wolff,Amy.Wolff@durhamnc.gov,6357,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2021184.4821026,841088.95507811
6360,D0800070,PL_MINSP,3/31/2008 9:03:58 AM,APP,6/10/2008 8:57:42 AM,SECU- Guess Road Amendment,"Amendment to D06-868, change the following: stormwater detention, eliminate retaining wall at south property line buffer, add detention plantings, add details per changes",TBUTLER,JMORRIS,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,,,6360,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2020899.17585261,841783.054296851
6368,COA2400016,PL_MJ_COA,3/5/2024 8:34:56 AM,APP,6/13/2024 2:25:12 PM,2204 Woodrow St-Add,"Increase square footage of homes by adding office spaces, bedrooms, and bathrooms. ",KROSENBERG,KROSENBERG,APP,Approved,PL_MJ_COA,Major COA,Karla Rosenberg,Karla.Rosenberg@durhamnc.gov,6368,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2021125.15554011,825845.359374985
6378,D1200150,PL_MINSP,7/10/2012 10:15:10 AM,APP,12/6/2012 11:11:55 AM,United Therapeutics Path and Bridge,4' wide mulch trail connecting the athletic complex under construction and United Therapeutics' existing facility.  No grading is proposed for the construction of the trail.,COURTNEYMC,DCULTRA,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Danny Cultra,Danny.Cultra@durhamnc.gov,6378,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2037035.93561824,789288.099218726
6386,D1300216,PL_MINSP,7/30/2013 8:05:49 AM,APP,3/31/2014 11:28:48 AM,Fifty-Four Plaza,"One new 4,000 commercial building, one 9,500 sq. ft commercial building and one 19,500 sq. ft. commenrcial (33,000 sq. ft. total) on a 4.61 acre site with associated parking and stormwater ponds.",DACIARE,LHODGES,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,,,6386,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2043926.53835261,772022.059374988
6387,D1100245,PL_MINSP,12/8/2011 10:27:58 AM,APP,3/27/2012 11:39:27 AM,Durham Hilton Garden Inn Conversion II,"Hotel Conversion with minor site plan upgrades and request of parking reduction on 3.97 acres zoned OI and MTC, and located at 4620 S. Miami Blvd.",DACIARE,DCULTRA,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Danny Cultra,Danny.Cultra@durhamnc.gov,6387,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2044782.42819636,780014.085546851
6392,COA1400138,PL_MJ_COA,10/1/2014 12:00:00 AM,APP,11/7/2014 2:26:22 PM,821 Onslow St - Addition,Removal of existing dormer and replace with new dormer expanding the new dormer approximately 6 feet; expansion of side walls and roof.,LMILLER,KROSENBERG,APP,Approved,PL_MJ_COA,Major COA,Karla Rosenberg,Karla.Rosenberg@durhamnc.gov,6392,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2025132.48288386,822761.505468726
6395,A1900008,PL_CPAA,6/10/2019 12:00:00 AM,APP,1/7/2025 2:24:46 PM,Farrington Townes,Low Density Residential to Low Medium Residential. Associated with Z1900023. ,GSMITH,EMILYST,APP,Approved,PL_CPAA,Comprehensive Plan Map or Plan Amendment,Emily Struthers,Emily.Struthers@durhamnc.gov,6395,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2004578.45593072,798058.069140613
6396,D0900005,PL_SSP_SM,1/12/2009 8:33:14 AM,APP,5/19/2009 11:38:48 AM,407 Morris Street,Instalation and screening of Utilities for existing building ,LEEDA,AKRAMER,APP,Approved,PL_SSP_SM,Level 3 - Administrative Site Plan,,,6396,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2028404.90632136,819183.439843729
6408,COA1300023,PL_MJ_COA,2/28/2013 11:08:59 AM,APP,4/22/2013 11:54:13 AM,Durham City Center New Construction,Construction of a new building that is 26 stories tall incorporating renovated facades of the existing historic buildings on the site.,LMILLER,LMILLER,APP,Approved,PL_MJ_COA,Major COA,Lisa Miller,Lisa.Miller@durhamnc.gov,6408,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2029215.30788386,817373.808203101
6425,D0900056,PL_MINPP,3/13/2009 2:14:41 PM,APP,9/2/2009 7:41:31 AM,Accent Park Phase Two,Additional ROW for Accent Park Drive,TDANNER,DDOTY,APP,Approved,PL_MINPP,Minor Preliminary Plat,Dennis Doty,Dennis.Doty@durhamnc.gov,6425,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2052825.45007135,786566.359765604
6428,D1200122,PL_SSP_SM,6/14/2012 10:06:47 AM,APP,9/17/2012 9:42:11 AM,Eastern Carolina Organics,"New loading docks, sidewalk and HC accessibility improvements, site grading (less than 1/2 acre disturbed), plantings. No increase in building square footage.",JEANETTEBR,LHODGES,APP,Approved,PL_SSP_SM,Level 3 - Administrative Site Plan,,,6428,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2036232.94225885,811069.548437476
6430,D2100465,PL_MINSP,12/22/2021 4:44:06 PM,APP,4/25/2022 3:47:21 PM,Rollingdale,33 Townhomes and 4 open spaces,KIMRO,ROBINSH,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Robin Schultze,Robin.Schultze@durhamnc.gov,6430,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2015192.69733699,787896.140624985
6438,COA1700077,PL_MJ_COA,9/11/2017 3:42:16 PM,DEN,12/13/2018 2:54:19 PM,104 West Parrish Street,Attachment of a public art piece to a landmark structure through Nov 2017,GSMITH,KROSENBERG,DEN,Denied,PL_MJ_COA,Major COA,Karla Rosenberg,Karla.Rosenberg@durhamnc.gov,6438,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2029445.25749323,817435.666406229
6440,D1600285,PL_MINSP,10/4/2016 1:12:59 PM,APP,6/21/2017 12:25:04 PM,The Station - 2201 Angier Avenue,Change of use  to restaurant with slight reduction in impervious surface/plus off-site parking agreement,DACIARE,DCULTRA,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Danny Cultra,Danny.Cultra@durhamnc.gov,6440,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2036748.13405573,812178.542187482
6449,D1800065,PL_MINSP,3/6/2018 2:15:53 PM,APP,6/5/2018 9:01:45 AM,Briggs Avenue Collision Center,New auto body/collision Center and the associated site improvements,COURTNEYMC,COURTNEYMC,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Courtney McQueen,Courtney.McQueen@durhamnc.gov,6449,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2036892.38171197,805063.303124979
